county,floor,log_radon,Uppm
AITKIN,1.0,0.8329091229351041,0.502054
AITKIN,0.0,0.8329091229351041,0.502054
AITKIN,0.0,1.0986122886681098,0.502054
AITKIN,0.0,0.0953101798043249,0.502054
ANOKA,0.0,1.1631508098056809,0.428565
ANOKA,0.0,0.9555114450274363,0.428565
ANOKA,0.0,0.4700036292457356,0.428565
ANOKA,0.0,0.0953101798043249,0.428565
ANOKA,0.0,-0.2231435513142098,0.428565
ANOKA,0.0,0.262364264467491,0.428565
ANOKA,0.0,0.262364264467491,0.428565
ANOKA,0.0,0.336472236621213,0.428565
ANOKA,0.0,0.4054651081081644,0.428565
ANOKA,0.0,-0.6931471805599453,0.428565
ANOKA,0.0,0.1823215567939548,0.428565
ANOKA,0.0,1.5260563034950492,0.428565
ANOKA,0.0,0.336472236621213,0.428565
ANOKA,0.0,0.7884573603642703,0.428565
ANOKA,0.0,1.791759469228055,0.428565
ANOKA,0.0,1.2237754316221157,0.428565
ANOKA,0.0,0.6418538861723948,0.428565
ANOKA,0.0,1.7047480922384253,0.428565
ANOKA,0.0,1.856297990365626,0.428565
ANOKA,0.0,0.6931471805599453,0.428565
ANOKA,0.0,1.9021075263969205,0.428565
ANOKA,0.0,1.1631508098056809,0.428565
ANOKA,0.0,1.9315214116032136,0.428565
ANOKA,0.0,1.9600947840472696,0.428565
ANOKA,0.0,2.0541237336955462,0.428565
ANOKA,0.0,1.667706820558076,0.428565
ANOKA,0.0,1.5260563034950492,0.428565
ANOKA,0.0,1.5040773967762742,0.428565
ANOKA,0.0,1.0647107369924282,0.428565
ANOKA,0.0,2.104134154270207,0.428565
ANOKA,0.0,0.5306282510621705,0.428565
ANOKA,0.0,1.4586150226995167,0.428565
ANOKA,0.0,1.7047480922384253,0.428565
ANOKA,0.0,1.410986973710262,0.428565
ANOKA,0.0,0.8754687373538999,0.428565
ANOKA,0.0,1.0986122886681098,0.428565
ANOKA,0.0,0.4054651081081644,0.428565
ANOKA,0.0,1.2237754316221157,0.428565
ANOKA,0.0,1.0986122886681098,0.428565
ANOKA,1.0,0.6418538861723948,0.428565
ANOKA,1.0,-1.203972804325936,0.428565
ANOKA,0.0,0.9162907318741552,0.428565
ANOKA,1.0,0.1823215567939548,0.428565
ANOKA,0.0,0.8329091229351041,0.428565
ANOKA,0.0,-0.3566749439387324,0.428565
ANOKA,0.0,0.5877866649021191,0.428565
